"Name","birth_year","death_year","first_year","last_year","religion_id"
Carl Ritter,1779,1859,1839,1851,NA
William Ridley,1819,1878,1851,1852,NA
Thomas Prendergast,1806,1886,1838,1840,NA
William Augustus Miles,NA,NA,1839,1851,NA
Hervy Masterson,NA,NA,1847,1847,NA
Thomas Martin,NA,NA,1851,1851,NA
Edward Martin,NA,NA,1847,1850,NA
J  Beete Jukes,1811,1869,1862,1862,NA
George Alexander James,NA,1868,1865,1867,NA
Alexander Isbester,1822,1883,1857,1867,NA
James Heywood,1810,1897,1865,1867,NA
Charles (1) Harrison,NA,NA,1866,1867,NA
x Gribble,1807,1878,1849,1857,NA
George Grey,1812,1898,1839,1851,NA
M Foster,1836,1907,1866,1867,NA
Morton Coates Fisher,NA,NA,1859,1859,NA
J H Elliott,NA,NA,1838,1867,NA
James F Draper,NA,1876,1839,1840,NA
Ernest Dieffenbach,1811,1855,1847,1851,NA
Alexander Cunningham,1814,1893,1838,1862,NA
Handel Cossham,1824,1890,1862,1862,NA
John (1) Collinson,1842,1922,1862,1862,NA
W W Collins,NA,1880,1861,1862,NA
C Clarke,NA,NA,1867,1867,NA
William Dinsdale Child,NA,1879,1839,1851,NA
F W Chesson,NA,NA,1857,1867,NA
T A Campbell,NA,NA,1839,1840,NA
James Silk Buckingham,1786,1855,1852,1855,NA
James Bird,NA,NA,1860,1860,NA
Charles Bennett,NA,NA,1860,1860,NA
Robert Bell,NA,NA,1840,1850,NA
Henry Thorowgood Barnes,NA,NA,1838,1840,NA
John Baker,1813,1872,1861,1864,NA
Thomas Baines,1820,1875,1867,1867,NA
John Bailey,NA,NA,1860,1860,NA
William Allen,NA,NA,1838,1840,NA
William Dyster,NA,NA,1840,1840,NA
x Poeppig,NA,NA,1839,1840,NA
Leitch Ritchie,NA,NA,1839,1851,NA
Leonard Sedgwick,NA,NA,1861,1864,NA
